	input	filtered	denoisedF	nonchim
SRR19937696	98505	76518	75316	67049
SRR19937697	82805	64285	63935	47793
SRR19937698	65641	52110	51734	37509
SRR19937699	66303	53480	52967	45085
SRR19937700	92383	70732	69923	50004
SRR19937701	104654	84549	83452	63210
SRR19937702	60205	48624	47685	41731
SRR19937703	81570	61680	61085	35458
SRR19937704	115869	72536	72259	68581
SRR19937705	87924	71989	71297	48922
SRR19937706	77826	43142	42933	39763
SRR19937707	99879	77429	76634	56131
SRR19937708	75687	59809	59355	55325
SRR19937709	74108	54406	54042	34995
SRR19937710	112407	80593	79906	46034
SRR19937711	86347	64846	64147	48105
SRR19937712	64263	30876	30784	27598
SRR19937713	90355	69624	68516	51622
SRR19937714	7954	6313	6244	6071
SRR19937715	67750	52861	52108	44818
SRR19937716	138062	56833	56511	53814
SRR19937717	95274	75119	74468	58946
SRR19937718	84831	63791	63110	48324
SRR19937719	73843	38506	38405	38229
SRR19937720	95620	48709	48546	29917
SRR19937721	124094	96265	94625	64940
SRR19937722	76642	59513	58958	36502
SRR19937723	52982	30883	30658	30340
SRR19937724	77359	61456	60938	56270
SRR19937725	97777	73003	72158	62181
SRR19937726	62834	49694	48899	36411
SRR19937727	74807	38613	38530	37781
SRR19937728	66548	31150	30999	29533
SRR19937729	89148	68727	68007	44171
SRR19937730	109219	80923	79901	58945
SRR19937731	82874	62837	62019	45916
SRR19937732	98573	69017	68610	44046
SRR19937733	79133	63912	62889	50603
SRR19937734	115687	99878	98625	79670
SRR19937735	155043	114480	113395	81865
SRR19937736	81211	58633	57637	47855
SRR19937737	71861	51682	51216	33540
SRR19937738	119968	38312	38095	37327
SRR19937739	83771	64462	63911	51356
SRR19937740	60248	48685	48190	41998
SRR19937741	103848	75377	74571	47044
SRR19937742	139507	98895	98002	64724
SRR19937743	108035	84254	83309	63599
SRR19937744	88681	68828	68237	50808
SRR19937745	47845	42147	41949	38767
SRR19937746	96022	43739	43371	42360
SRR19937747	61297	26202	26089	25646
SRR19937748	55617	43829	43560	35723
SRR19937749	84968	40746	40659	38991
SRR19937750	101045	78552	77633	56981
SRR19937751	78777	60094	59568	48130
SRR19937752	79157	61684	60729	50134
SRR19937753	99330	74063	73251	46733
SRR19937754	68868	52480	51938	32542
SRR19937755	82391	60426	59793	36556
SRR19937756	79809	58095	57578	41332
SRR19937757	68401	42509	41934	41342
SRR19937758	57319	39632	39363	35340
SRR19937759	62225	22382	22133	20625
SRR19937760	138085	46918	46528	43752
SRR19937761	69297	44056	43862	40555
SRR19937762	58550	37076	36663	34946
SRR19937763	66556	42983	42016	37693
SRR19937764	19696	15791	15312	13772
SRR19937765	83041	69079	68650	44092
SRR19937766	51873	22962	22759	19181
SRR19937767	63234	41834	41510	36857
SRR19937768	59142	37446	37008	30930
SRR19937769	53658	21021	20758	19333
SRR19937770	65433	26199	25628	24226
SRR19937771	77379	52076	51439	48922
SRR19937772	63066	39063	38758	37897
SRR19937773	64939	41197	40652	37125
SRR19937774	67205	31178	30911	28041
SRR19937775	42101	36963	36461	32240
SRR19937776	84088	33799	33570	32362
SRR19937777	55863	46396	45941	35594
SRR19937778	46502	30056	29880	29361
SRR19937779	48669	28642	28411	27896
SRR19937780	99975	28780	28541	26060
SRR19937781	69649	45227	44780	37833
SRR19937782	52790	34651	34183	31005
SRR19937783	48960	32231	31841	31135
SRR19937784	65125	42769	42369	40346
SRR19937785	76772	52869	51977	48345
SRR19937786	51112	17528	17261	15095
SRR19937787	69673	54213	53538	46529
SRR19937788	67900	31409	31266	30798
SRR19937789	52328	33425	32928	32185
SRR19937790	70105	47395	46521	43991
SRR19937791	71595	41815	41198	39274
SRR19937792	61067	40038	39609	37867
SRR19937793	91275	64799	64068	59792
SRR19937794	107368	80105	79148	57060
SRR19937795	57066	31604	31424	31104
SRR19937796	71420	44581	44289	38952
SRR19937797	53962	30940	30625	29909
SRR19937798	54769	43264	42594	36527
SRR19937799	159142	52139	51866	48369
SRR19937800	67040	34918	34758	32881
SRR19937801	162415	53438	53285	51328
SRR19937802	73266	58232	57299	47632
SRR19937803	68500	55198	54468	50141
SRR19937804	86405	46323	45908	43345
SRR19937805	54115	43593	43181	41543
SRR19937806	50454	41089	40730	32651
SRR19937807	73382	43136	42871	38471
SRR19937808	124018	94542	93664	57834
SRR19937809	78331	62419	61183	50495
SRR19937810	95973	76718	75818	71897
SRR19937811	81166	65968	65237	50461
SRR19937812	92326	16875	16621	16248
SRR19937813	123651	61049	60604	57091
SRR19937814	160317	129660	128428	104710
SRR19937815	65497	51785	51264	49319
SRR19937816	71684	55712	54957	49937
SRR19937817	92128	72395	71639	60387
SRR19937818	92056	54522	54185	49338
SRR19937819	79487	63325	62297	56412
SRR19937820	89086	68984	68418	57851
SRR19937821	72328	55221	54303	51419
SRR19937822	64402	51184	50378	45161
SRR19937823	72432	56080	55245	50426
SRR19937824	77220	59672	59185	40174
SRR19937825	84012	39641	39431	38085
SRR19937826	134326	105355	104653	72375
SRR19937827	109466	58702	58385	54337
SRR19937828	52239	31775	31476	29205
SRR19937829	111822	90207	88667	76839
SRR19937830	100771	77563	76851	55661
SRR19937831	80518	65024	64134	51836
SRR19937832	76780	44820	44554	40150
SRR19937833	104799	83785	82578	63306
SRR19937834	113262	94027	93138	63770
SRR19937835	115066	96330	95467	74902
SRR19937836	129997	80766	80351	73053
SRR19937837	158659	120354	118910	98542
SRR19937838	81241	68088	67164	52026
SRR19937839	82157	65434	64550	58831
SRR19937840	113481	91940	90566	72768
SRR19937841	108331	89937	89116	61669
SRR19937842	93816	77450	77175	46379
SRR19937843	57593	21890	21579	20632
SRR19937844	74761	63119	62681	51095
SRR19937845	130268	91956	90880	56515
SRR19937846	75606	60657	59891	49279
SRR19937847	86297	69126	68120	62712
SRR19937848	90057	72671	72110	61221
SRR19937849	106492	86108	84766	74899
SRR19937850	117922	94025	93051	74474
SRR19937851	89770	73282	72465	54016
SRR19937852	119291	50614	50373	47441
SRR19937853	100657	81128	80129	63647
SRR19937854	86295	69669	68181	45132
SRR19937855	96457	80077	78941	67251
SRR19937856	109712	89899	88726	79149
SRR19937857	70105	55143	54235	42894
SRR19937858	112197	51911	51467	46382
SRR19937859	20302	16296	15858	14191
SRR19937860	68596	55248	54231	45043
SRR19937861	94250	73638	72867	59157
SRR19937862	110193	89608	88740	70186
SRR19937863	87392	54272	54005	51769
SRR19937864	94647	77576	76424	56365
SRR19937865	56696	49619	49155	36992
SRR19937866	107470	88163	86972	60604
SRR19937867	96112	78057	76978	64353
SRR19937868	126365	101645	100395	73447
SRR19937869	91659	26051	25424	24468
SRR19937870	104984	87225	86101	63558
SRR19937871	105285	65843	65588	60713
SRR19937872	64591	53035	52497	42275
SRR19937873	122556	98237	96488	64326
SRR19937874	63652	49294	48586	35502
SRR19937875	97594	58977	58538	55683
