	reads.in	reads.out
SRR19937720.fastq.gz	95620	48709
SRR19937721.fastq.gz	124094	96265
SRR19937722.fastq.gz	76642	59513
SRR19937723.fastq.gz	52982	30883
SRR19937724.fastq.gz	77359	61456
SRR19937725.fastq.gz	97777	73003
SRR19937726.fastq.gz	62834	49694
SRR19937727.fastq.gz	74807	38613
SRR19937728.fastq.gz	66548	31150
SRR19937729.fastq.gz	89148	68727
SRR19937730.fastq.gz	109219	80923
SRR19937731.fastq.gz	82874	62837
SRR19937732.fastq.gz	98573	69017
SRR19937733.fastq.gz	79133	63912
SRR19937734.fastq.gz	115687	99878
SRR19937735.fastq.gz	155043	114480
SRR19937736.fastq.gz	81211	58633
SRR19937737.fastq.gz	71861	51682
SRR19937738.fastq.gz	119968	38312
SRR19937739.fastq.gz	83771	64462
SRR19937740.fastq.gz	60248	48685
SRR19937741.fastq.gz	103848	75377
SRR19937742.fastq.gz	139507	98895
SRR19937743.fastq.gz	108035	84254
SRR19937744.fastq.gz	88681	68828
SRR19937745.fastq.gz	47845	42147
SRR19937746.fastq.gz	96022	43739
SRR19937747.fastq.gz	61297	26202
SRR19937748.fastq.gz	55617	43829
SRR19937749.fastq.gz	84968	40746
SRR19937750.fastq.gz	101045	78552
SRR19937751.fastq.gz	78777	60094
SRR19937752.fastq.gz	79157	61684
SRR19937753.fastq.gz	99330	74063
SRR19937754.fastq.gz	68868	52480
SRR19937755.fastq.gz	82391	60426
SRR19937756.fastq.gz	79809	58095
SRR19937757.fastq.gz	68401	42509
SRR19937758.fastq.gz	57319	39632
SRR19937759.fastq.gz	62225	22382
SRR19937760.fastq.gz	138085	46918
SRR19937761.fastq.gz	69297	44056
SRR19937762.fastq.gz	58550	37076
SRR19937763.fastq.gz	66556	42983
SRR19937764.fastq.gz	19696	15791
SRR19937765.fastq.gz	83041	69079
SRR19937766.fastq.gz	51873	22962
SRR19937767.fastq.gz	63234	41834
SRR19937768.fastq.gz	59142	37446
SRR19937769.fastq.gz	53658	21021
SRR19937770.fastq.gz	65433	26199
SRR19937771.fastq.gz	77379	52076
SRR19937772.fastq.gz	63066	39063
SRR19937773.fastq.gz	64939	41197
SRR19937774.fastq.gz	67205	31178
SRR19937775.fastq.gz	42101	36963
SRR19937776.fastq.gz	84088	33799
SRR19937777.fastq.gz	55863	46396
SRR19937778.fastq.gz	46502	30056
SRR19937779.fastq.gz	48669	28642
SRR19937780.fastq.gz	99975	28780
SRR19937781.fastq.gz	69649	45227
SRR19937782.fastq.gz	52790	34651
SRR19937783.fastq.gz	48960	32231
SRR19937784.fastq.gz	65125	42769
SRR19937785.fastq.gz	76772	52869
SRR19937786.fastq.gz	51112	17528
SRR19937787.fastq.gz	69673	54213
SRR19937788.fastq.gz	67900	31409
SRR19937789.fastq.gz	52328	33425
SRR19937790.fastq.gz	70105	47395
SRR19937791.fastq.gz	71595	41815
SRR19937792.fastq.gz	61067	40038
SRR19937793.fastq.gz	91275	64799
SRR19937794.fastq.gz	107368	80105
SRR19937795.fastq.gz	57066	31604
SRR19937796.fastq.gz	71420	44581
SRR19937797.fastq.gz	53962	30940
SRR19937798.fastq.gz	54769	43264
SRR19937799.fastq.gz	159142	52139
SRR19937800.fastq.gz	67040	34918
SRR19937801.fastq.gz	162415	53438
SRR19937802.fastq.gz	73266	58232
SRR19937803.fastq.gz	68500	55198
SRR19937804.fastq.gz	86405	46323
SRR19937805.fastq.gz	54115	43593
SRR19937806.fastq.gz	50454	41089
