ASV_ID	ERR3610705	ERR3610706	ERR3610707	ERR3610708	ERR3610709	ERR3610710	ERR3610711	ERR3610712	ERR3610713	ERR3610714	ERR3610715	ERR3610716	ERR3610717	ERR3610718	ERR3610719	ERR3610720	ERR3610721	ERR3610722	ERR3610723	ERR3610724	ERR3610725	ERR3610726	ERR3610727	ERR3610728	ERR3610729	ERR3610730	ERR3610731	ERR3610732	ERR3610733	ERR3610734	ERR3610735	ERR3610736	ERR3610737	ERR3610738	ERR3610739	ERR3610740	ERR3610741	ERR3610742	ERR3610743	ERR3610744	ERR3610745	ERR3610746	ERR3610747	ERR3610748	ERR3610749	ERR3610750	ERR3610751	ERR3610752	ERR3610753	ERR3610754
ASV_93	59	0	0	121	22	634	0	192	0	50	0	201	0	0	86	189	106	1635	22	388	45	106	117	90	65	0	0	0	0	975	224	127	187	58	374	350	54	0	184	0	77	46	24	109	0	0	0	0	0	0
ASV_94	463	0	0	0	31	0	0	0	0	0	0	0	120	0	1997	369	0	0	0	67	0	77	0	1004	0	0	0	254	0	0	915	0	0	708	0	0	224	493	0	0	0	0	33	0	0	0	0	0	0	0
ASV_95	345	0	93	242	0	0	0	0	147	0	0	351	400	422	0	164	0	0	0	900	96	176	162	73	673	0	0	323	0	0	65	0	165	142	0	0	242	514	0	0	92	953	0	0	0	0	0	0	0	0
ASV_96	337	114	143	257	116	88	107	215	347	464	385	154	0	192	94	198	124	52	86	0	412	228	87	108	104	0	121	80	36	116	97	326	68	199	113	199	169	79	76	0	63	69	52	0	111	0	0	39	56	0
ASV_97	481	0	0	0	34	0	0	0	0	0	0	0	125	0	1822	360	0	0	0	88	0	83	0	915	0	0	0	192	0	0	927	0	0	674	0	0	250	467	0	0	0	0	36	0	0	0	0	0	0	0
ASV_98	43	0	0	93	37	585	0	165	24	43	0	166	15	0	70	183	0	1482	0	443	36	85	0	105	69	0	0	0	0	883	206	115	157	69	365	382	59	43	169	0	56	52	0	89	0	0	0	0	0	0
ASV_99	0	220	578	0	97	0	1110	10	0	0	200	38	102	0	29	17	0	461	0	0	369	0	0	27	149	26	0	42	400	0	131	120	89	23	17	20	424	266	0	402	42	0	0	86	47	238	47	311	0	46
ASV_100	0	0	488	0	0	0	1323	0	0	0	0	0	0	168	1770	0	0	0	0	283	0	0	0	0	0	0	1501	0	0	0	0	0	338	0	0	97	171	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_101	118	0	0	0	150	0	0	0	448	0	913	470	373	176	32	0	240	720	0	0	245	32	0	109	248	0	0	0	0	0	332	57	0	0	0	0	0	0	0	0	167	54	0	0	72	0	901	0	0	245
ASV_102	34	121	145	387	90	0	125	532	255	73	41	87	33	276	89	20	78	66	57	251	123	267	54	63	29	173	924	9	0	37	103	30	44	38	90	0	116	420	112	0	196	82	43	0	184	56	0	0	25	80
