ASV_ID	SRR11733560	SRR11733574	SRR11733576	SRR11733578	SRR11733580	SRR11733584	SRR11733587	SRR11733590	SRR11733593	SRR11733594	SRR11733597	SRR11733600	SRR11733603	SRR11733607	SRR11733610	SRR11733613	SRR11733618	SRR11733621	SRR11733624	SRR11733628	SRR11733631	SRR11733634	SRR11733638	SRR11733641	SRR11733644	SRR11733647	SRR11733648	SRR11733651	SRR11733681	SRR11733684	SRR11733687	SRR11733690	SRR11733691	SRR11733694	SRR11733697	SRR11733700	SRR11733704	SRR11733707	SRR11733710	SRR11733715	SRR11733718	SRR11733721	SRR11733725	SRR11733728	SRR11733731	SRR11733748	SRR11733749	SRR11733778	SRR11733781	SRR11733784	SRR11733787	SRR11733788	SRR11733791	SRR11733794	SRR11733797	SRR11733801	SRR11733804	SRR11733807	SRR11733809	SRR11733812	SRR11733815	SRR11733818	SRR11733819	SRR11733821	SRR11733854	SRR11733890	SRR11733920	SRR11733927
ASV_48	75	0	0	34	190	514	0	49	26	0	0	148	0	0	22	184	0	0	0	0	70	156	0	0	0	0	0	345	161	26	0	60	0	60	188	0	0	245	0	36	87	236	0	37	0	0	0	25	92	0	0	0	0	0	160	34	164	0	42	0	121	0	0	30	70	0	0	0
ASV_49	121	141	0	115	0	0	166	156	155	257	0	61	0	194	89	0	0	0	120	0	0	0	0	0	0	129	0	118	0	0	224	0	0	0	0	0	0	210	0	85	133	110	0	0	178	0	0	0	80	87	0	74	0	0	116	0	38	86	0	125	0	0	0	0	88	0	0	156
ASV_50	0	23	0	7	99	33	18	151	31	59	202	187	0	52	471	201	120	0	0	21	0	101	15	27	89	0	0	0	17	92	159	230	0	42	72	111	99	58	41	0	0	21	0	0	0	36	0	0	25	12	0	0	8	0	76	104	54	0	0	0	58	84	0	119	174	0	0	0
ASV_51	0	0	208	0	66	0	0	25	0	0	88	0	117	0	0	0	0	0	0	0	12	0	0	125	0	258	0	0	0	0	0	0	62	0	103	0	93	121	0	0	117	0	0	254	47	0	331	0	0	78	125	389	231	0	0	59	0	0	0	0	0	0	0	0	58	196	0	422
ASV_52	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1356	0	554	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	666	0	0	0	0
ASV_53	93	0	0	134	133	0	76	0	0	1378	0	0	0	0	86	294	0	156	0	0	0	128	384	0	0	0	0	0	39	0	0	0	0	92	0	0	0	0	0	0	249	113	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_54	0	0	6	0	0	0	608	0	0	0	0	0	0	0	813	0	0	0	0	617	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0	0	0	0	0	117	0	0	360	0	0	130	0	0	0	116	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0
ASV_55	266	28	0	0	65	163	283	0	0	92	115	0	0	131	108	254	0	197	0	0	0	66	0	229	0	0	231	0	95	130	0	0	0	0	0	0	0	0	0	0	0	0	41	0	178	166	0	0	65	0	0	0	0	0	0	0	187	0	0	0	78	0	0	0	0	0	0	0
ASV_56	135	0	0	0	0	118	0	207	105	0	0	0	0	95	0	0	339	0	55	0	0	251	0	49	0	0	0	0	326	28	132	53	0	55	0	0	0	0	0	0	75	0	0	0	0	111	254	0	0	23	0	179	0	0	0	0	0	0	0	91	0	101	0	0	284	0	0	0
ASV_57	473	16	0	76	0	109	12	32	91	69	0	74	40	20	13	72	10	104	27	170	0	7	58	16	0	91	119	136	8	34	159	92	0	71	0	61	15	0	19	6	38	0	38	96	7	0	0	34	0	0	86	261	23	0	39	0	22	34	0	0	0	0	0	23	0	0	0	0
ASV_58	0	0	28	127	104	0	43	0	0	0	109	92	15	103	52	138	94	0	0	51	74	126	22	85	0	0	163	0	24	86	105	60	0	107	169	0	32	0	0	0	56	0	71	0	0	182	0	69	69	0	0	0	0	0	0	0	0	115	0	0	36	0	0	275	109	0	0	0
ASV_59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2935	0	0	0	0	0	0	0
ASV_60	0	16	96	0	0	0	0	131	0	0	0	101	116	212	50	0	411	138	0	0	0	82	0	25	51	0	34	28	36	0	0	83	0	9	24	69	0	15	115	0	0	0	0	145	0	0	0	0	0	0	184	0	41	0	0	0	0	0	0	31	0	23	0	66	33	0	431	0
ASV_61	185	48	0	0	60	0	0	0	0	171	0	0	42	0	0	0	75	0	0	0	53	0	88	0	0	0	6	47	0	0	64	39	0	0	13	44	0	32	0	63	0	160	0	72	0	0	0	0	0	0	134	201	332	247	0	0	63	0	350	0	0	0	0	0	7	0	76	0
ASV_62	0	24	14	0	161	23	17	49	0	113	48	35	0	89	96	0	0	0	22	0	0	124	32	0	208	0	0	0	70	11	0	0	40	32	0	0	35	30	64	0	0	78	0	0	0	64	0	0	27	15	0	0	0	0	0	0	0	0	50	0	91	0	0	38	270	307	0	287
ASV_63	58	86	0	63	0	110	0	33	52	0	0	0	0	0	36	112	0	0	0	85	47	0	120	13	0	0	0	0	0	0	304	22	0	0	0	0	30	26	21	13	0	83	179	0	0	73	0	113	0	0	0	0	407	0	14	0	80	0	65	0	0	0	0	81	83	0	0	0
ASV_64	0	0	182	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	524	0	0	0	0	0	0	0	693	0	18	0	0	0	0	207	0	58	0	0	0	0	0	0	0	0	0	139	0	0	0	310	0	0	0	0	0	0	0	0	0	0
ASV_65	41	57	0	200	0	90	106	0	59	0	0	0	0	0	0	159	0	0	0	0	0	96	119	30	268	0	0	0	9	40	0	0	0	0	177	0	18	0	0	79	95	0	52	0	231	0	0	16	0	0	0	0	0	163	16	22	0	140	56	0	19	17	0	0	22	0	0	0
ASV_66	0	14	19	22	21	17	161	36	24	0	10	29	0	0	100	34	36	0	0	40	76	26	42	17	0	0	0	43	20	40	61	0	0	67	0	210	0	239	28	14	0	63	0	0	67	46	0	42	20	0	0	0	27	0	35	10	0	0	380	0	24	141	0	11	29	0	0	0
ASV_67	63	67	0	0	0	0	150	24	43	0	39	11	0	40	0	60	64	0	0	22	0	34	26	0	30	0	0	0	0	94	94	43	0	20	74	31	53	65	0	0	0	113	0	108	28	51	0	0	0	24	0	0	279	0	53	0	65	0	0	21	21	29	0	91	102	0	0	0
ASV_68	0	0	0	149	19	0	0	0	99	0	27	29	0	0	85	126	0	0	0	143	10	116	83	0	23	0	0	0	44	99	0	0	0	0	0	332	27	0	105	0	0	0	65	0	0	0	0	81	13	0	0	0	0	0	53	62	18	0	0	0	0	0	0	164	123	0	0	0
ASV_69	96	0	47	0	0	0	0	15	0	114	0	0	13	78	0	0	41	30	5	0	12	21	0	0	0	23	15	13	0	0	35	25	276	54	0	13	0	27	29	14	0	0	0	21	121	0	120	0	0	74	77	0	153	0	0	0	0	0	75	16	0	0	127	17	24	82	185	0
ASV_70	43	0	0	28	109	0	21	17	0	0	66	0	0	0	71	58	56	0	0	79	79	94	54	0	0	22	159	47	0	0	0	0	0	3	87	135	31	0	65	75	0	31	61	0	0	75	0	209	0	0	0	0	0	52	0	28	0	42	0	0	53	0	0	62	67	0	0	0
ASV_71	0	0	0	259	46	0	0	0	85	0	75	0	0	0	97	0	0	0	0	0	0	0	0	0	57	0	0	0	89	36	0	0	0	0	44	215	0	0	0	28	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	420	98	0	0	0	0	0	330	0	0	0	0
ASV_72	39	55	0	0	0	0	0	0	0	66	0	0	59	29	0	0	16	0	0	0	0	0	0	0	0	0	0	26	0	0	28	0	0	0	0	22	0	79	0	0	0	74	0	0	29	0	0	0	0	139	124	0	321	378	0	0	0	0	108	131	0	221	0	0	53	0	0	0
ASV_73	0	42	0	0	95	199	21	149	11	0	0	0	0	0	143	72	0	0	0	15	83	234	0	0	25	2	0	0	49	0	17	0	0	29	0	0	119	0	76	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	51	33	0	26	0	72	30	0	170	91	0	0	0
